BIBTEXKEY,JOURNAL,TITLE,ABSTRACT,ISSN,ISBN,DOI
mulders_evidence_2000,HEARING RESEARCH,Evidence for direct cortical innervation of medial olivocochlear neurones in rats,We have investigated the morphological relationship between auditory cortex efferents and medial olivocochlear neurones. Using combined retrograde and anterograde tracing we describe close contacts between medial olivocochlear neurones and corticofugal terminals in the ventral nucleus of the trapezoid body. The data indicate a possible direct action of the auditory cortex on the activity of the medial olivocochlear neurones and thus possibly the sensitivity of the cochlea. (C) 2000 Elsevier Science B.V. All rights reserved.,0378-5955,NA,10.1016/S0378-5955(00)00046-0
isaac_endoparasites_2018,Korean Journal of Parasitology,"Endoparasites of {Small} {Mammals} in {Edo} {State}, {Nigeria}: {Public} {Health} {Implications}.","Some small mammals occur as household pests and harbour a number of parasites that could be of public health importance. This study profiled the helminth and protozoan parasites in trapped small mammals within and around human dwelling places (houses) located across 4 major towns (Auchi, Benin, Ekpoma, and Uromi) and environs in Edo state, Nigeria. Six genera (Apodemus sp., Crocidura sp., Mastomys natalensis, Mus musculus, Rattus sp., and Sorex sp.) were identified from 502 trapped small mammals. Overall, M. musculus (71.9\%) and Rattus rattus (20.1\%) were the most frequently trapped. In total, on examination of blood, gastrointestinal contents, and brain tissues, 12 helminth taxa (Angiostrongylus sp., Aspicularis sp., Capillaria sp., Gongylonema sp., Heterakis spumosa, Hymenolepis diminuta, Hymenolepis nana, Mastophorus muris, Moniliformis moniliformis, Nippostrongylus brasiliensis, Strongyloides sp., Trichosomoides sp., and Trichuris sp.), and 6 protozoan parasites (Babesia sp., Trypanosoma lewisi, Plasmodium sp., Eimeria sp., Isospora sp., and Toxoplasma gondii) were isolated. Most prevalent helminths with relatively heavy mean intensity were Strongyloides sp. and Heterakis spumosa, while Plasmodium, Eimeria, and Isospora were the most prevalent protozoan parasites. Generally, intrinsic factors like sex and age had marginal influence on the rate and burden of infection in M. musculus and R. rattus. Although the infection rate and prevalence of zoonotic parasites were low, they were largely recovered in rodents from Ekpoma. This study elucidates the public health implication of the presence of zoonotic parasites in these small mammals.",0023-4001,NA,NA
bussetti_genomic_2012,The Journal of general virology,Genomic and antigenic characterization of {Jos} virus.,"Jos virus (JOSV), originally isolated in Jos, Nigeria in 1967, has remained unclassified despite cultivation in tissue culture, development of animal models of infection and implementation of seroprevalence surveys for infection. Here, we report genetic, ultrastructural and serological evidence that JOSV is an orthomyxovirus distinct from but phylogenetically related to viruses of the genus Thogotovirus.",1465-2099,NA,10.1099/vir.0.035121-0
taysse_protection_2006,TOXICOLOGY,Protection against soman-induced neuropathology and respiratory failure: {A} comparison of the efficacy of diazepam and avizafone in guinea pig,"The purpose of this study was to compare the efficacy of diazepam and the pro-diazepam avizafone in preventing the severity of soman-induced pathology in guinea pig. Survival, respiration and seizures of experimental animals were investigated with on-line monitoring of respiratory and EEG parameters. Guinea pigs were pretreated with pyridostigmine (0.1 mg/kg i.m.) and 30 min later challenged with 1 or 2 LD50 soman. One minute after intoxication they were treated with atropine (3 or 33.8 mg/kg), pralidoxime chloride (32 mg/kg) and either diazepam (2 mg/kg), avizafone (3.5 mg/kg) or saline solution. The highest dose of atropine (33.8 mg/kg) gave a protective effect in groups treated without anticonvulsants by reducing the severity of clinical signs and death within 24h but also by decreasing seizure occurrence and brain injuries. When injected at the similar molar dose of 7 mu moles/kg, the protection of anticonvulsants against soman neurotoxicity was higher with the atropine/pralidoxime/avizafone combination than with atropine/pralidoxime/diazepam. Indeed, when atropine was used at the lowest dose, avizafone was found to prevent early mortality and seizures occurrence with better efficacy than diazepam. On the other hand, when added to the therapy, the both anticonvulsants did not prevent the moderate EEG depression (reduction of amplitude by 30-52\%) observed under 2 LD50 soman. Moreover, the number of animals suffering from respiratory distress (defined as a decrease of minute ventilation of more than 20\% from the baseline value) was enhanced when diazepam or avizafone were used in the therapy. This effect was dependent on the atropine dose and the nature of the anticonvulsant. The beneficial effects of the different therapeutics tested were assessed and compared to the previous data obtained with the same therapies against sarin and from the pharmacokinetics properties of the atropine/diazepam mixture. (c) 2006 Elsevier Ireland Ltd. All rights reserved.",0300-483X,NA,10.1016/j.tox.2006.04.043
amoateng_long-term_2016,Ghana medical journal,"Long-term continuous administration of a hydro-ethanolic extract of {Synedrella} nodiflora ({L}) {Gaertn} in male {Sprague}-{Dawley} rats: biochemical, haematological and histopathological changes.","BACKGROUND: Conflicting reports about the toxicity of Synedrella nodiflora (L) Gaertn (family Asteraceae), a plant traditionally used in Ghana for the management of epilepsy, abound in literature. The present study evaluates the effect of a 90-day continuous oral administration of a hydro-ethanolic whole plant extract of Synedrella nodiflora (SNE) in male Sprague-Dawley rats., METHODS: The toxicological evaluation of the extract (100, 300 and 1000 mgkg-1) was focused on haematological, serum biochemical parameters and histopathological changes of some isolated organs., RESULTS: The extract produced no mortality in the rats treated during the study period. Only SNE 100 mgkg-1 produced significant decrease in white blood cell and neutrophil counts and an increase in albumin, globulin, total bilirubin, total protein and potassium levels. The higher doses (SNE 300 and 1000 mgkg-1) had no significant effect on all the haematological and biochemical parameters measured. Histopathological assessment of the liver, kidney and heart revealed no abnormalities in rats treated with the extracts. Only the SNE 1000 mgkg-1 produced distortions of the branching arrangements of the myocardial fibres and a congested vessel which indicates a healed infarction., CONCLUSIONS: The findings suggest hydro-ethanolic extract of Synedrella nodiflora (L) Gaertn generally has a low toxicity profile following a 90-day continuous oral administration in male Sprague-Dawley rats under the present laboratory conditions. However patients with renal or cardiac problems should use the plant with caution., FUNDING: Jointly supported by the International Foundation for Science, Stockholm, Sweden, through a grant (\# F/5191-1) to Dr. Patrick Amoateng and the Office of Research, Innovation and Development (ORID), University of Ghana, Accra, Ghana, grant awarded to Dr. Patrick Amoateng (reference number: URF/6/ILG-002/2012-2013).",2616-163X,NA,NA
lancha_osteopontin_2014,PloS one,Osteopontin deletion prevents the development of obesity and hepatic steatosis via impaired adipose tissue matrix remodeling and reduced inflammation and fibrosis in adipose tissue and liver in mice.,"Osteopontin (OPN) is a multifunctional extracellular matrix (ECM) protein involved in multiple physiological processes. OPN expression is dramatically increased in visceral adipose tissue in obesity and the lack of OPN protects against the development of insulin resistance and inflammation in mice. We sought to unravel the potential mechanisms involved in the beneficial effects of the absence of OPN. We analyzed the effect of the lack of OPN in the development of obesity and hepatic steatosis induced by a high-fat diet (HFD) using OPN-KO mice. OPN expression was upregulated in epididymal white adipose tissue (EWAT) and liver in wild type (WT) mice with HFD. OPN-KO mice had higher insulin sensitivity, lower body weight and fat mass with reduced adipose tissue ECM remodeling and reduced adipocyte size than WT mice under a HFD. Reduced MMP2 and MMP9 activity was involved in the decreased ECM remodeling. Crown-like structure number in EWAT as well as F4/80-positive cells and Emr1 expression in EWAT and liver increased with HFD, while OPN-deficiency blunted the increase. Moreover, our data show for the first time that OPN-KO under a HFD mice display reduced fibrosis in adipose tissue and liver, as well as reduced oxidative stress in adipose tissue. Gene expression of collagens Col1a1, Col6a1 and Col6a3 in EWAT and liver, as well as the profibrotic cytokine Tgfb1 in EWAT were increased with HFD, while OPN-deficiency prevented this increase. OPN deficiency prevented hepatic steatosis via reduction in the expression of molecules involved in the onset of fat accumulation such as Pparg, Srebf1, Fasn, Mogat1, Dgat2 and Cidec. Furthermore, OPN-KO mice exhibited higher body temperature and improved BAT function. The present data reveal novel mechanisms of OPN in the development of obesity, pointing out the inhibition of OPN as a promising target for the treatment of obesity and fatty liver.",1932-6203,NA,10.1371/journal.pone.0098398
adegbolagun_synergistic_2013,AFRICAN HEALTH SCIENCES,Synergistic effect of aqueous extract of {Telfaria} occidentalis on the biological activities of artesunate in {Plasmodium} berghei infected mice,"Background: Resistance to most antimalarial drugs has encouraged the use of herbal preparations along with prescribed orthodox drugs. Objective: To investigate effect of co-administration of aqueous extract of T. occidentalis leaves; commonly used as antimalarial and haematinic agent in Nigeria and artesunate using P. berghei animal model. Methods: In vivo curative antiplasmodial effect of T. occidentalis (200mg/kg) alone and combination with artesunate (2mg/kg) were evaluated using albino mice infected with 10(6) parasitized erythrocytes of P. berghei intraperitoneally. The haematological parameters: haemoglobin level, red blood cells and white blood cells and packed cell volume were monitored using standard methods. Results: Aqueous extract of T. occidentalis, artesunate and the combination gave 72.17 +/- 4.07\%, 70.43 +/- 4.27\% and 85.43 +/- 3.65\% reduction in parasitaemia after 48hours respectively. A significant enhancement of the PCV was obtained with the co-administration of artesunate and aqueous extract (p{\textless}0.01). Similar trends were also observed with heamatological parameters at 72hours of administration. Conclusion: This study revealed a synergistic effect of the co-administration on parasite clearance rate of P. berghei infection in mice, with a significant enhancement of haematological parameters within 48 hours of administration. This indicates a rapid rate of recovery from plasmodial infections with the co-administration.",1680-6905,NA,10.4314/ahs.v13i4.16
dobigny_cytotaxonomic_2011,Mammalian Biology,A cytotaxonomic and {DNA}-based survey of rodents from {Northern} {Cameroon} and {Western} {Chad}.,"Rodent diagnosis has long remained obscured by the co-existence of cryptic species in many lineages. However, alternative and accessible methods, such as cytotaxonomy and DNA-based methods, are now available that allow biologists to accurately monitor biodiversity through the production of well documented lists of unambiguously species-specific identifications. As a continuation of our previous surveys of West African rodents, we here present the first rodent inventory of rodents from Northern Cameroon (as well as one locality in Western Chad) that fully relies on karyotypic and/or sequencing data. Doing so, we assess the presence of 18 species in this poorly documented region. Among them, we found several African spiny mice that could be referred as to A. johannis, a poorly documented species. Moreover, several Arvicanthis individuals could be aggregated with previously studied but still enigmatic specimens of ANI-2 and ANI-4 sensu Volobouev etal. (2002a,b), thus suggesting that they may all belong to one single species, namely A. rufinus. In addition, one specimen was shown to belong to a new biological species (Praomys sp.) that will deserve further taxonomic investigations. Finally, several Taterillus specimens were found with 2n =28-30 chromosomes and a XX/XY1Y2 sex chromosome system. On the basis of these new results as well as a reinterpretation of previously published data, we propose to refer these individuals as to the poorly documented Taterillus lacustris. Altogether, our data suggest that Northern Cameroon is a ""phylogeographical node"" for several rodent lineages which may be at least partly explained by the past changes within the Lake Chad basin. Keeping this in mind, there is little doubt that biodiversity will undergo important modifications in the coming decades, following the increasing aridity and the drastic reduction of Lake Chad. (C) 2010 Deutsche Gesellschaft fur Saugetierkunde. Published by Elsevier GmbH. All rights reserved.",1616-5047,NA,10.1016/j.mambio.2010.10.002
ark_does_1999,GENERAL PHARMACOLOGY,Does prevention of free radical reactions influence digoxin-arrhythmias,"In the present study, the possible role of oxygen-derived free radicals (OFR) on digoxin- (0.6 mg/kg(-1) IV bolus) induced arrhythmias of anesthetized guinea-pigs has been investigated. Guinea-pigs (300-400 g) of either sex were anesthetized with urethane (1.5 g/kg(-1), IF), and their trachea for respiration,left common carotid artery for blood pressure monitoring, and right jugular vein for drug administration were cannulated. ECG and haemodynamics were recorded throughout the experiments. None of the agents used [N-acetyl-L-cysteine (20 mg/kg(-1) IV bolus), or SOD (30,000 IU/kg(-1) IV bolus) + catalase (15,000 IU/kg-1 IV bolus)] significantly inhibited the arrhythmias except desferrioxamine which reduced the incidence of ventricular fibrillation and arrhythmia score. Desferrioxamine, by acting intracellularly unlike other agents used, might prevent the reduction of Fe+3 by ascorbate and superoxide anion thus inhibiting the formation of cytotoxic hydroxyl radical in this experimental setting. (C) 1999 Elsevier Science Inc. All rights reserved.",0306-3623,NA,NA
boone_scavenging_2009-1,VECTOR-BORNE AND ZOONOTIC DISEASES,Scavenging by {Mammalian} {Carnivores} on {Prairie} {Dog} {Colonies}: {Implications} for the {Spread} of {Plague,"Plague causes mass mortality of prairie dogs (Cynomys ludovicianus) in shortgrass steppe. Although the pathogen, the bacterium Yersinia pestis, is spread within colonies by flea bites or contact between infected hosts, it is unclear how Y. pestis is transported over long distances between isolated colonies. One possibility is that wide-ranging, plague-resistant mammalian carnivores pick up fleas when scavenging prairie dog carcasses. Using guinea pigs as surrogates for prairie dogs, we compared how quickly scavengers discovered carcasses on active prairie dog colonies, on colonies recently extirpated by plague, and in grasslands without prairie dogs. In June-July 2007, we monitored the fates of 20 guinea pig carcasses for 4 consecutive days on each site type. Ten carcasses were placed in wire exclosures that restricted access only to arthropods and small rodents; the other 10 were exposed to all scavengers. Scavengers were identified by tracks, evidence of consumption, and/or remote cameras. Carnivores discovered carcasses more quickly on active and plague colonies (mean +/- 95\% confidence interval [CI]: 1.6 +/- 0.7, 1.4 +/- 1.4 days, respectively) than on grasslands (3.1 +/- 0.7 days). By the end of the trials, all (100\%) exposed carcasses were removed from active colonies, whereas 60\% were removed from plague colonies and 30\% were removed from grasslands. Rates of carcass discovery and removal on active colonies were significantly greater than in grasslands, which mirrored differences in carnivore activity recorded during earlier scat surveys. A small fraction (30\%-40\%) of carcasses in exclosures were eaten by rodents, but only on active and plague colonies, suggesting that small rodents, presumably grasshopper mice (Onychomys leucogaster), may also consume carcasses and pick up fleas if carcasses are not removed by carnivores first. These results, combined with observations that fleas remain alive on prairie dogs at least 1 day following their death, suggest that carnivores may encounter infectious fleas while scavenging, and they could transport them over long distances.",1530-3667,NA,10.1089/vbz.2008.0034
